,0
X11_Acetazolamide_0_5_uM_,"11_[('Acetazolamide', 0.5, 'uM')]"
X11_Adagrasib_0_05_uM_,"11_[('Adagrasib', 0.05, 'uM')]"
X11_Allopurinol_0_5_uM_,"11_[('Allopurinol', 0.5, 'uM')]"
X11_Aprepitant_0_5_uM_,"11_[('Aprepitant', 0.5, 'uM')]"
X11_Artemether_0_5_uM_,"11_[('Artemether', 0.5, 'uM')]"
X11_Asciminib_0_5_uM_,"11_[('Asciminib', 0.5, 'uM')]"
X11_Aspirin_0_5_uM_,"11_[('Aspirin', 0.5, 'uM')]"
X11_Ataluren_0_5_uM_,"11_[('Ataluren', 0.5, 'uM')]"
X11_Atazanavir_sulfate_0_5_uM_,"11_[('Atazanavir (sulfate)', 0.5, 'uM')]"
X11_Auranofin_0_5_uM_,"11_[('Auranofin', 0.5, 'uM')]"
X11_Belinostat_0_5_uM_,"11_[('Belinostat', 0.5, 'uM')]"
X11_Benztropine_mesylate_0_5_uM_,"11_[('Benztropine (mesylate)', 0.5, 'uM')]"
X11_Bestatin_hydrochloride_0_5_uM_,"11_[('Bestatin (hydrochloride)', 0.5, 'uM')]"
X11_Bexarotene_0_5_uM_,"11_[('Bexarotene', 0.5, 'uM')]"
X11_Bicalutamide_0_5_uM_,"11_[('Bicalutamide', 0.5, 'uM')]"
X11_Binimetinib_0_5_uM_,"11_[('Binimetinib', 0.5, 'uM')]"
X11_Brimonidine_0_5_uM_,"11_[('Brimonidine', 0.5, 'uM')]"
X11_Budesonide_0_5_uM_,"11_[('Budesonide', 0.5, 'uM')]"
X11_Cabozantinib_S_malate_0_5_uM_,"11_[('Cabozantinib (S-malate)', 0.5, 'uM')]"
X11_Canagliflozin_hemihydrate_0_5_uM_,"11_[('Canagliflozin (hemihydrate)', 0.5, 'uM')]"
X11_Captopril_0_5_uM_,"11_[('Captopril', 0.5, 'uM')]"
X11_Carbamazepine_0_5_uM_,"11_[('Carbamazepine', 0.5, 'uM')]"
X11_Cinacalcet_0_5_uM_,"11_[('Cinacalcet', 0.5, 'uM')]"
X11_Citalopram_hydrobromide_0_5_uM_,"11_[('Citalopram (hydrobromide)', 0.5, 'uM')]"
X11_Clobetasol_propionate_0_5_uM_,"11_[('Clobetasol propionate', 0.5, 'uM')]"
X11_Clopidogrel_0_5_uM_,"11_[('Clopidogrel', 0.5, 'uM')]"
